# timestamp tx ty tz qx qy qz qw
1520530310.999656916 0.855324 -0.219058 1.260317 0.025907 -0.001785 -0.006632 0.999641
1520530311.049658775 0.854674 -0.219763 1.259726 0.024256 0.001281 -0.006326 0.999685
1520530311.099659920 0.854482 -0.220032 1.258979 0.024481 0.001213 -0.006640 0.999678
1520530311.149662018 0.854645 -0.219942 1.258337 0.027498 0.000487 -0.004122 0.999613
1520530311.199671745 0.855396 -0.219640 1.257477 0.033903 -0.002559 -0.003535 0.999416
1520530311.249672890 0.855895 -0.219540 1.256446 0.040641 -0.004513 -0.001852 0.999162
1520530311.299674988 0.856113 -0.220001 1.255656 0.044161 -0.004648 -0.001069 0.999013
1520530311.349676847 0.856117 -0.220817 1.255413 0.044655 -0.003733 -0.002236 0.998993
1520530311.399677992 0.856247 -0.221486 1.255890 0.041430 -0.004297 -0.004394 0.999123
1520530311.449678898 0.856361 -0.221828 1.256852 0.036171 -0.005354 -0.005481 0.999316
1520530311.499683857 0.856522 -0.222267 1.257818 0.031679 -0.005900 -0.006623 0.999459
1520530311.549682856 0.856654 -0.222507 1.258130 0.031012 -0.005393 -0.006726 0.999482
1520530311.599683762 0.856785 -0.222663 1.257903 0.033452 -0.005178 -0.006672 0.999405
1520530311.649719000 0.856871 -0.222852 1.257590 0.035751 -0.004552 -0.005119 0.999337
1520530311.699720144 0.857368 -0.222767 1.257291 0.037851 -0.005592 -0.006296 0.999248
1520530311.749722004 0.857844 -0.222759 1.257331 0.037798 -0.006143 -0.005922 0.999249
1520530311.799722910 0.858370 -0.222522 1.257653 0.036649 -0.006324 -0.006019 0.999290
1520530311.849725246 0.858924 -0.222624 1.258223 0.033688 -0.006382 -0.005763 0.999395
1520530311.899726152 0.859496 -0.222645 1.258494 0.031079 -0.006700 -0.006096 0.999476
1520530311.949728251 0.859927 -0.222906 1.258631 0.030456 -0.005642 -0.006153 0.999501
1520530311.999729156 0.860280 -0.223165 1.258702 0.030040 -0.004900 -0.005670 0.999521
1520530312.049720526 0.860394 -0.223468 1.259037 0.029019 -0.004354 -0.006096 0.999551
1520530312.099721432 0.860554 -0.223416 1.259808 0.028812 -0.005210 -0.007342 0.999544
1520530312.149723291 0.860637 -0.223096 1.260655 0.027521 -0.005889 -0.007604 0.999575
1520530312.199725628 0.860585 -0.222863 1.261244 0.026264 -0.005902 -0.008219 0.999604
1520530312.249726534 0.860372 -0.222643 1.261578 0.024280 -0.004747 -0.006402 0.999673
1520530312.299728394 0.860245 -0.222493 1.261519 0.024004 -0.004866 -0.007955 0.999668
1520530312.349729538 0.859998 -0.222452 1.261178 0.024219 -0.004179 -0.008384 0.999663
1520530312.399731398 0.859742 -0.222406 1.260715 0.024797 -0.003403 -0.008653 0.999649
1520530312.449712038 0.859429 -0.222450 1.260329 0.024912 -0.003565 -0.009292 0.999640
1520530312.499714136 0.859565 -0.222085 1.260141 0.026088 -0.005618 -0.011079 0.999582
1520530312.549715281 0.859766 -0.221864 1.260375 0.026246 -0.006606 -0.011524 0.999567
1520530312.599717140 0.860154 -0.221595 1.260934 0.026235 -0.006841 -0.011626 0.999565
1520530312.649719000 0.860754 -0.221552 1.261865 0.025600 -0.007923 -0.012824 0.999559
1520530312.699720144 0.861607 -0.221457 1.263052 0.023784 -0.008491 -0.012956 0.999597
1520530312.749722004 0.862414 -0.221293 1.263833 0.022843 -0.008024 -0.012233 0.999632
1520530312.799724102 0.863424 -0.221028 1.264288 0.023258 -0.007608 -0.011650 0.999633
1520530312.849719524 0.864584 -0.220731 1.264417 0.025117 -0.006432 -0.010994 0.999603
1520530312.899721384 0.865786 -0.220694 1.264386 0.025189 -0.005062 -0.008527 0.999634
1520530312.949723482 0.867352 -0.220556 1.264314 0.028015 -0.005179 -0.007823 0.999563
1520530312.999724627 0.869104 -0.220199 1.264355 0.030438 -0.004012 -0.006151 0.999510
1520530313.049725533 0.870998 -0.220186 1.264573 0.029236 -0.003226 -0.004164 0.999559
1520530313.099727392 0.873042 -0.220175 1.264758 0.027561 -0.001189 -0.003175 0.999614
1520530313.149728537 0.875012 -0.220401 1.264608 0.027273 0.001127 -0.004500 0.999617
